SITE,SECTORID,RECOMMENDATION_TYPE,COST,PRIORITY,CLUSTERID,CLUSTER_LEVEL,GROUP_ID,IMPLEMENTATION_DATE
25077132186,320,Entrance L2100,69566.43,3,55473965,YES,2,43
25077132187,20,Entrance L2100,114158.51,3,55473965,YES,2,43
25077132190,30,Entrance L2100,30361.86,3,55473965,YES,2,43
25077132191,10,Entrance L2100,30196.48,3,55473965,YES,2,43
25077132191,95,Entrance L2100,41045.59,3,55473965,YES,2,43
25077132194,10,Entrance L2100,80916.23,3,55473965,YES,2,43
25077132194,110,Entrance L2100,83614.06,3,55473965,YES,2,43
25077132194,190,Entrance L2100,84986.53,3,55473965,YES,2,43
25077132195,165,Entrance L2100,73696.02,3,55473965,YES,2,43
25077132195,260,Entrance L2100,74655.89,3,55473965,YES,2,43
25077132195,340,Entrance L2100,87064.66,3,55473965,YES,2,43
25077132199,205,Entrance L2100,81519.84,3,55473965,YES,2,43
25077132204,20,Entrance L2100,36417.48,3,55473965,YES,2,43
25077132206,140,Entrance L2100,48100.11,3,55473890,YES,2,50
25077132206,20,Entrance L2100,93450.65,3,55473890,YES,2,50
25077132208,160,Entrance L2100,64020.73,3,55473965,YES,2,43
25077132208,280,Entrance L2100,113809.06,3,55473965,YES,2,43
25077132210,140,Entrance L2100,68018.03,3,55474111,YES,2,51
25077132210,20,Entrance L2100,120632.15,3,55474111,YES,2,51
25077132210,260,Entrance L2100,162738.16,3,55474111,YES,2,51
25077132211,210,Entrance L2100,155809.98,3,55473965,YES,2,43
25077132211,300,Entrance L2100,119184.55,3,55473965,YES,2,43
25077132211,35,Entrance L2100,114421.11,3,55473965,YES,2,43
25077132213,250,Entrance L2100,70670.8,3,55473965,YES,2,43
25077132213,335,Entrance L2100,99596.56,3,55473965,YES,2,43
25077132214,340,Entrance L2100,65894.19,3,55473965,YES,2,43
25077132215,140,Entrance L2100,98235.33,3,55474110,YES,2,25
25077132215,240,Entrance L2100,79327.41,3,55474110,YES,2,25
25077132216,110,Entrance L2600,211655.39,2,55473890,NO,,49
25077132216,210,Entrance L2600,115594.15,2,55473890,NO,,49
25077132216,345,Entrance L2600,128635.88,2,55473890,NO,,49
25077132216,110,Entrance L2100,211655.39,3,55473890,YES,2,50
25077132216,210,Entrance L2100,115594.15,3,55473890,YES,2,50
25077132216,345,Entrance L2100,128635.88,3,55473890,YES,2,50
25077132217,120,Refarming L1800,68133.4,1,55474110,YES,1,20
25077132218,200,Refarming L1800,52832.14,1,55474110,YES,1,20
25077132220,250,Refarming L1800,101674.16,1,55474110,YES,1,20
25077132221,245,Entrance L2100,55962.96,3,55473965,YES,2,43
25077132222,105,Entrance L2100,52810.6,3,55474110,YES,2,25
25077132222,220,Entrance L2100,58703.13,3,55474110,YES,2,25
25077132222,310,Entrance L2100,39734.84,3,55474110,YES,2,25
25077132223,150,Entrance L2600,10819.08,2,55473965,NO,,42
25077132223,310,Entrance L2600,138317.64,2,55473965,NO,,42
25077132223,150,Entrance L2100,10819.08,3,55473965,YES,2,43
25077132223,310,Entrance L2100,138317.64,3,55473965,YES,2,43
25077132225,140,Entrance L2100,101892.94,3,55473965,YES,2,43
25077132225,300,Entrance L2100,90458.54,3,55473965,YES,2,43
25077132226,270,Refarming L1800,86296.07,1,55473964,YES,1,24
25077132227,135,Entrance L2100,83602.89,3,55473923,YES,2,40
25077132227,225,Entrance L2100,27810.96,3,55473923,YES,2,40
25077132227,45,Entrance L2100,58826.7,3,55473923,YES,2,40
25077132228,0,Entrance L2600,116874.39,2,55474110,NO,,24
25077132228,0,Entrance L2100,116874.39,3,55474110,YES,2,25
